Epoch	Loss	MicroP	MicroR	MicroF1
1	0.1276	0.9408	0.9495	0.9451
2	0.0998	0.9393	0.9587	0.9489
3	0.0937	0.9397	0.9592	0.9494
4	0.0900	0.9489	0.9574	0.9531
5	0.0881	0.9477	0.9610	0.9543
6	0.0853	0.9488	0.9562	0.9525
7	0.0830	0.9352	0.9539	0.9445
8	0.0805	0.9478	0.9602	0.9540
9	0.0772	0.9504	0.9621	0.9563
10	0.0754	0.9525	0.9635	0.9579
11	0.0724	0.9524	0.9635	0.9579
12	0.0696	0.9478	0.9633	0.9555
13	0.0680	0.9516	0.9655	0.9585
14	0.0648	0.9481	0.9621	0.9551
15	0.0617	0.9500	0.9644	0.9572
16	0.0596	0.9537	0.9642	0.9589
17	0.0577	0.9541	0.9636	0.9588
18	0.0557	0.9518	0.9625	0.9571
19	0.0550	0.9503	0.9635	0.9569
20	0.0541	0.9529	0.9648	0.9588
